playlist_id,track_ids
7,14714 19243 15650 13424 1063 17154 5924 7109 5649 8749
25,16663 11112 7035 5630 2336 4720 0 20500 13805 13637
29,8356 4743 16387 17200 4543 19814 20366 14907 4148 2159
34,16765 18661 4925 14579 16563 15865 13446 16759 9458 14694
50,13452 14417 6245 10496 19813 13757 18159 5281 412 153
52,1710 10930 18059 16297 7131 8885 18763 6529 9530 4812
60,3855 3750 4640 12972 12550 14671 18377 6098 4757 20491
64,11676 7341 3564 10746 16815 519 672 4271 14358 3646
77,12910 19243 17114 15935 4492 7989 1063 16673 18191 10833
80,6465 17438 12173 9168 10454 5683 9067 19399 9086 3503
106,20197 2272 13216 15259 4482 6214 20263 16454 260 6103
138,14147 15704 9834 9940 19969 17081 19154 14631 663 11688
143,10848 16502 8145 20172 2497 4949 2919 411 8491 20515
149,8956 17597 4460 14395 15578 13237 12563 13980 8229 19662
169,11635 1012 16311 19776 12929 8500 11547 19858 5971 7157
180,14659 8437 1951 20408 11070 7577 17715 9440 15558 20461
210,9804 10691 2132 5023 16331 13622 2980 10339 14904 19305
231,12769 4089 16930 17309 20167 10491 6664 17586 19169 19890
241,16866 1587 4834 14378 12721 4839 3551 15781 5630 4510
244,13980 6253 14591 11366 18381 8956 3885 1746 360 13237
256,1944 7544 8725 2730 4451 18475 19462 3445 12972 13819
258,13980 13237 8956 18728 14591 17096 6253 11366 360 4364
265,11877 7421 2867 6589 11200 12610 8155 7748 3067 20591
268,9229 1898 7197 18040 12075 4916 13862 14289 16008 6453
271,14904 387 16331 9804 4745 2665 9211 13622 19770 12906
272,3242 10442 9246 13347 12712 209 4070 6672 15988 2551
275,3885 13139 18649 18381 573 1746 2412 4795 10264 19422
277,508 4089 10833 16579 13154 6433 579 2980 13129 20461
290,17563 1300 18361 14360 5474 1476 4369 2236 7989 9984
310,5924 1063 13542 12311 8749 14765 20242 18191 956 8275
326,11070 7009 797 10269 9974 667 13368 3078 17034 12467
365,6433 2153 11740 6220 9491 3876 1951 2581 3007 8849
392,541 17239 2674 17568 15499 6015 8145 1195 13139 15474
407,943 19476 14070 14737 15464 16098 6077 6915 12718 15065
413,4026 3551 19602 1133 17516 6220 6732 18598 19688 15646
422,12703 2583 8146 2290 10639 3258 3244 6618 1585 2989
432,20007 19556 9314 11599 16404 16930 19336 20488 520 8950
455,8333 15974 20506 11020 2631 16430 13276 18751 7953 17396
470,4910 20167 11943 5606 18428 8145 8539 7506 8767 3811
492,12393 8275 2765 8749 15498 17597 4052 9963 15167 12311
495,11759 8169 405 8138 4743 14248 1687 16392 4865 1641
497,11070 18074 11255 216 15005 20555 5639 16045 19939 17881
505,5817 13862 13185 4916 1898 5481 9229 4111 18040 12075
509,5606 648 16601 7728 2780 1719 16820 2930 5141 7734
514,1382 13980 15209 3252 4632 4946 11366 2046 6354 17195
529,10848 10675 13281 14826 2497 13704 9635 20167 15248 6591
532,1012 13043 1374 11246 13592 20169 10269 16645 15355 14943
537,10370 8760 11421 12345 20362 4878 2352 13708 1066 8902
545,7000 1041 11282 5778 20254 13155 16697 6925 3535 1830
564,3761 11445 3552 11510 18329 7622 3624 18944 6112 1337
567,13276 11016 16844 13573 11020 12305 14673 15330 6786 2631
580,8491 20172 2497 16502 10848 2919 4288 20515 3976 8145
582,10100 11233 11313 5668 12940 4909 17634 16713 15167 15498
592,7544 8466 14736 228 17200 17820 5098 16708 18937 7114
611,6823 14322 16083 19078 1489 4954 18262 14097 1909 5463
615,4072 13573 10386 13276 13923 4886 10561 139 13954 18424
619,15651 19929 17363 14443 6098 7547 13531 19265 11572 2649
622,568 8828 17699 3173 16334 15834 8624 14889 13592 4398
625,6409 4710 8347 13426 13592 12708 9982 19858 1012 2417
631,7 3150 15915 16771 11938 16274 19494 9793 14837 7451
633,12563 15209 17096 8956 11366 13980 2740 16509 7059 3347
636,15312 7323 9060 11654 3413 18289 9670 12173 14679 3212
642,14395 8956 5611 15669 17701 10112 6556 3932 3011 5685
646,17203 20268 5031 7394 15428 1231 1014 18418 15204 13123
676,1746 13139 573 3885 9705 14052 18649 11107 10250 2674
683,19008 20433 10850 13465 10438 16663 13622 19838 7350 20500
686,15312 9670 7323 12173 6 9060 17764 3413 11654 18289
704,20172 8491 10848 2919 868 19889 411 2497 3830 14826
709,19969 663 2551 17663 19825 15704 10834 14147 9834 6137
714,5343 13506 2247 4487 2955 13129 19983 2203 11521 11715
719,14267 1886 5228 11895 401 9233 19494 4130 3971 5054
721,1746 18649 573 19422 6253 7619 8681 13101 3885 12591
724,11774 13734 7750 14751 17550 3410 16770 5008 2464 10367
731,12162 14178 12639 10269 4720 7163 956 2336 660 19466
735,8956 13980 15578 14591 14395 13237 6253 18728 12563 15209
737,2922 8640 2968 14128 4914 15108 9396 16459 4768 4089
740,8709 9231 8466 4743 6776 9257 8045 9003 16708 1060
744,7989 4954 7163 3698 3551 13983 19254 16764 13895 15603
746,13670 1300 13819 3237 4447 3860 17740 19462 4880 1365
774,9752 17063 2081 15866 20065 9518 8160 12633 17402 18617
788,17584 4482 5572 2272 20295 12278 2332 20251 6103 619
818,508 4089 579 12765 10481 2989 7081 1023 4594 16144
859,9003 2508 9231 12931 4743 6776 7544 18404 8045 14907
914,12721 15900 2036 15771 1372 4514 17516 3551 4249 19509
924,18617 19055 18672 19385 14837 12104 4106 19662 5089 11196
925,2551 9246 3242 17663 16732 15988 1271 10442 8672 4253
926,1149 12510 2151 4288 12882 16852 411 20156 9598 4514
927,520 16404 19152 3944 19556 19048 20488 6237 11289 19058
949,14758 18266 20263 12563 8047 14842 4106 13250 8229 16460
957,12400 10120 19406 9795 10554 5090 7491 20271 4957 3498
961,10580 2435 5667 10577 12071 18423 7416 7680 14270 1222
988,4543 19814 2682 15602 7611 3511 8356 9571 7260 13487
994,6113 7133 19850 1813 5540 11478 17357 7539 9175 20262
1016,14134 3600 15843 5983 797 18290 3001 15935 3477 12769
1021,11286 17748 1640 12804 5700 17383 2915 11239 12876 8129
1027,755 13618 17534 12576 9815 13191 17963 6509 5965 19303
1046,15053 14466 1537 11468 456 4839 6140 699 7765 14407
1057,14840 8721 7947 8514 9689 15036 19355 4467 6442 11229
1065,4986 12488 10654 7578 5551 4949 7804 18320 15564 12086
1066,405 10572 1502 14037 9508 1687 4865 4826 4692 17528
1087,10269 797 3519 20169 19602 1714 16905 15204 8345 12510
1092,4745 19075 830 3799 9477 9211 387 5023 16583 5679
1099,14826 3830 7506 8539 5141 16494 5606 11664 11648 4514
1103,6823 8643 9903 2980 2134 15942 3698 16673 1290 15466
1108,7323 11654 15312 6 14679 9060 9670 9961 12173 3212
1115,9346 12910 19263 15916 8658 11687 15775 2133 7989 1187
1120,2561 7134 17928 7539 15532 235 19850 18066 16491 9175
1126,10848 8145 1111 16502 11943 4949 14826 20172 16494 6892
1129,4072 5527 2719 15485 19476 13276 14558 14718 8534 4201
1147,3413 16861 15633 2186 3919 20121 10926 18057 19205 14559
1163,12623 9003 6408 19340 18275 7544 8709 8466 6868 16521
1169,19462 628 13670 8600 3860 18404 16521 8167 3624 11882
1174,4149 491 2960 18322 1003 11316 16365 14135 16704 18802
1238,737 14826 11943 1895 6937 16494 80 6491 11765 1308
1254,16820 5606 9394 3431 13006 9941 2970 4965 4113 15713
1274,10848 20134 12311 20443 14826 5924 15771 2674 9705 20242
1285,2153 13402 17019 16433 8872 13212 2581 12991 7652 8849
1302,6529 18963 1357 17819 8885 1828 3195 6577 11604 12061
1316,1595 8498 15360 17780 2204 12526 2197 17651 18679 17359
1319,5728 9929 1846 9644 11476 3361 19075 14356 18615 10233
1341,12311 14765 19243 4965 14453 1740 8749 280 10689 5881
1346,3600 7260 6695 20626 6460 317 371 15057 18464 2770
1350,16732 18425 3242 10442 15098 12712 2551 12228 9246 9289
1353,18649 1746 7619 360 18728 13980 573 14591 10264 3885
1363,6593 18967 1149 1248 14017 19254 20561 20365 11369 4747
1371,4743 7645 18995 15750 17200 8356 8169 7187 3001 9231
1379,14604 9392 17247 6435 9007 2090 3077 6498 19284 9557
1383,10913 5739 6985 4839 13592 8300 19771 9051 20624 10759
1390,5668 11313 405 9323 12075 1687 4148 2627 1641 6736
1398,17273 19199 5084 9145 3968 9508 4753 11241 13906 5121
1404,16936 13221 11019 18137 14937 19466 14904 10296 13661 3859
1415,8488 3460 5725 381 7111 19645 16230 6522 20141 4824
1417,14484 15548 11286 18376 6720 5322 1246 10446 10606 12472
1454,14509 2132 10977 6220 6433 8519 10921 20474 16992 6732
1456,5656 3381 16797 3856 17996 7272 17494 20056 13297 5620
1463,12173 15312 16585 3919 18026 9060 11654 9670 6 7323
1481,19075 1641 16866 9477 19466 15781 15090 18421 13622 1133
1505,7459 5746 13734 16770 20267 19486 15386 17550 13003 10367
1519,18241 13959 15499 6933 20216 1393 16406 7970 7267 13368
1524,4901 19224 3129 4321 5048 20551 6168 1951 20624 512
1534,10926 2186 18057 16861 20121 3919 6197 8297 19205 2392
1542,17379 20607 9507 3268 3088 17353 2040 2770 11390 8656
1545,11006 28 17494 16254 2144 16731 6472 17947 16313 16298
1554,10848 3830 2579 20172 16502 3976 19889 11673 2243 12510
1560,12173 6 9060 15312 9670 7323 3212 12295 17764 18289
1588,5660 10323 10801 15905 18490 17512 1949 2727 2886 9388
1590,5783 19158 16507 9405 5145 15359 5907 1927 3452 4231
1601,4949 3976 10024 1189 10251 16502 14277 19164 8439 20172
1637,6408 9003 12623 16845 8964 17946 1179 18599 16067 19676
1639,11273 13946 16355 12818 10233 10470 1094 15021 3473 16894
1661,4779 20316 1199 1626 280 10438 10636 296 8063 14796
1673,8169 11759 4865 18830 16457 405 4148 8138 1687 17200
1679,3327 7767 18491 14616 13431 1078 4013 7696 16255 12961
1682,9984 15916 4954 17114 19991 13129 14360 11803 7989 17524
1692,8507 16205 4369 2581 19033 10089 5722 9681 11269 18726
1701,715 17604 10901 13708 13852 16556 2972 6924 4548 17066
1703,16866 7545 14378 9550 18332 7077 14160 1587 10706 13930
1712,18474 2171 13990 2655 9956 15907 16065 6590 583 595
1713,13368 10041 17034 3499 19386 8714 11377 14982 17631 5112
1729,4301 2980 15775 4954 7989 14615 9346 11157 17114 9383
1730,17663 4253 18824 18852 19969 3961 2551 10834 18856 18645
1731,12919 6113 17102 3377 14313 4977 7133 1329 1385 19850
1734,10496 8956 15578 6892 11896 17597 14395 13980 13452 4259
1740,12173 18026 19369 6860 19800 7910 9060 16909 14100 3919
1742,1189 5621 9690 1111 14732 10711 8019 13642 11943 6932
1747,13269 12628 4977 1897 1821 2591 13472 6564 18606 1928
1755,15498 4603 16713 10684 10100 17063 5309 8160 956 11233
1766,17584 6214 18096 5768 8491 3556 9765 10941 4600 14277
1807,2272 10848 6103 20263 2873 15474 18096 20172 411 1591
1814,1246 11286 5700 8129 1777 1640 2915 16664 17383 15548
1820,4023 1898 7197 5817 20281 18040 5481 3301 17910 17116
1852,18059 10930 12426 18262 15929 10209 4998 1489 2133 4495
1854,5606 648 7506 14826 12510 20172 868 8145 10848 2997
1871,339 8216 18198 6509 755 7453 70 13191 19711 10511
1880,7404 14688 8383 702 14859 9118 4376 5765 11896 14007
1881,8849 17019 13212 12991 7652 2153 8872 12668 8540 13402
1883,4760 3259 2931 13518 4566 6918 279 20120 18876 10591
1885,16866 7545 5100 1111 3606 11357 20048 14160 9550 15661
1898,19858 14375 7157 16311 1374 9051 7931 11635 2778 9982
1904,8749 10100 1641 11233 5668 9323 14668 8275 20443 4148
