playlist_id,num_edits,num_followers
0,19,1
1,2,1
2,5,2
3,7,1
4,27,1
5,9,1
6,8,3
7,18,1
8,40,1
9,8,1
10,22,2
11,39,1
12,4,2
13,20,1
14,46,1
15,23,1
16,4,1
17,15,1
18,14,1
19,11,1
20,3,1
21,6,1
22,4,2
23,18,1
24,14,1
25,13,1
26,13,1
27,2,1
28,5,2
29,2,1
30,12,1
31,5,1
32,3,2
33,2,1
34,27,1
35,9,4
36,20,1
37,20,1
38,11,1
39,9,1
40,21,1
41,5,5
42,11,3
43,7,1
44,9,3
45,46,1
46,8,1
47,4,2
48,48,1
49,5,1
50,18,1
51,7,1
52,29,2
53,34,2
54,3,2
55,4,2
56,8,2
57,52,2
58,18,3
59,13,4
60,8,1
61,20,1
62,18,1
63,9,1
64,15,1
65,13,1
66,30,2
67,2,1
68,4,1
69,12,2
70,17,3
71,3,1
72,11,1
73,11,1
74,28,2
75,42,1
76,3,1
77,6,1
78,8,1
79,8,1
80,5,2
81,20,1
82,11,1
83,2,1
84,9,1
85,18,1
86,2,1
87,7,2
88,4,1
89,7,2
90,9,1
91,7,1
92,5,1
93,12,1
94,5,1
95,23,1
96,17,1
97,17,1
98,3,1
99,35,1
100,3,1
101,22,1
102,8,1
103,2,1
104,9,3
105,3,1
106,5,1
107,7,1
108,39,3
109,5,1
110,3,1
111,2,1
112,8,1
113,36,1
114,12,2
115,15,1
116,9,1
117,20,1
118,8,1
119,36,1
120,24,2
121,5,2
122,5,1
123,2,1
124,34,1
125,3,1
126,12,1
127,2,1
128,6,1
129,4,1
130,5,3
131,24,2
132,9,1
133,9,2
134,8,1
135,6,1
136,3,2
137,32,1
138,7,1
139,9,1
140,8,1
141,2,1
142,6,2
143,39,1
144,8,1
145,5,1
146,5,1
147,15,1
148,17,1
149,3,1
150,8,2
151,12,1
152,11,1
153,32,1
154,7,1
155,12,1
156,11,1
157,4,1
158,21,1
159,27,1
160,7,1
161,14,1
162,20,1
163,12,1
164,3,1
165,6,1
166,4,1
167,16,1
168,7,1
169,3,1
170,2,1
171,4,1
172,4,1
173,3,1
