playlist_id,track_ids
3,19834 1111 11595 8426 
6,1111 15544 11861 14213 2627 13259 16100 10711 
7,17720 8682 6201 6077 13592 10673 13283 9963 17276 11313 
17,9473 1513 8768 9246 16149 7416 9847 562 13347 9580 
18,13941 9615 8804 
19,8063 19878 3835 6557 
20,16612 13101 16760 
25,15735 19662 18401 10270 12244 
29,17820 12972 1551 17586 4369 19462 4088 
34,12243 17470 7311 1850 3286 2286 11420 17017 
36,2306 15053 11107 3463 20134 2108 15640 13139 8522 13745 7153 9624 4331 
40,18418 1014 5960 6244 
48,12488 5792 4949 
50,6897 19184 5513 6610 
52,16328 16072 5828 11425 6951 
59,2161 15819 1365 7870 3624 35 3953 19690 
60,13862 3907 13874 
64,18274 19317 19190 4839 648 
77,16267 13088 12940 4936 17774 4106 3776 13926 1635 
80,3444 7323 9670 865 3413 6861 10694 
83,19657 16866 10711 2736 18435 16399 
85,4148 7761 6411 14309 6892 19510 8407 2497 16471 15209 
88,10259 12187 13563 13865 1231 4402 15640 2025 3368 2765 18168 13272 16307 4013 14453 13139 13123 
89,11638 9342 5089 13250 3379 6494 
98,14659 1627 16303 13498 14509 15650 1951 20445 6433 9477 20461 
106,6655 11275 7485 14581 14277 
107,5611 1745 19489 9273 
115,12425 1163 9337 19047 13993 
138,10955 11522 11162 973 4283 14622 6272 11071 1010 16083 8794 3239 3341 
141,14591 18878 8229 13009 4460 17652 20475 14219 6253 19605 
142,17527 15733 8784 17454 18040 
143,13866 425 3397 3121 15248 1742 2460 198 3811 9705 10336 
149,3074 344 19967 10695 12844 
164,6408 279 16591 
169,4642 13043 6409 9982 
180,12488 4401 14213 10848 4710 868 6629 80 8145 1012 19078 18254 
199,11485 15430 4300 12768 
210,4312 12196 6 12119 
220,13895 13003 8248 17657 10294 
221,15417 11474 17096 11070 
227,12918 18040 10672 20281 3855 16667 6448 
228,11258 5098 8502 658 20317 13267 13185 9314 4615 2161 5817 
231,13435 15029 15319 18118 
235,3210 6223 2000 17461 
239,12089 421 15986 8971 18645 18556 12395 18852 
241,2132 2506 18421 17707 5359 15090 2019 
244,4795 360 6556 13782 3590 2367 1534 
255,2129 9397 
256,18404 2956 9933 65 8925 1804 
258,10391 18649 14219 19366 1607 
262,15982 15935 7485 2351 8331 
265,19431 4827 8498 15360 12220 
